store_id,sku,upc,product_name,brand,category,subcategory,search_aliases,size,price_usd,inventory_status,quantity_on_hand,aisle,section,rack,shelf_level,position,location_instructions,alternative_skus,sponsored,source_verified,source_url,inventory_data_type,last_updated
CVS-DEMO-001,CVS-665269,,"Blink Boost Dry Eye Lubricating Eye Drops, 0.34 FL OZ",Blink,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,0.34 FL OZ,2.49,in_stock,5,18,Eye Drops,1,1,1,"Aisle 18, Eye Drops section, rack 1, shelf 1, position 1",CVS-622742|CVS-464046,false,true,https://www.cvs.com/shop/blink-boost-dry-eye-lubricating-eye-drops-0-34-fl-oz-prodid-665269,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-622742,,"Blink Gel Tears Moderate-Severe Dry Eye Lubricating Eye Drops, 0.34 FL OZ",Blink,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,0.34 FL OZ,3.86,in_stock,12,18,Eye Drops,2,2,2,"Aisle 18, Eye Drops section, rack 2, shelf 2, position 2",CVS-665269|CVS-464046,false,true,https://www.cvs.com/shop/blink-gel-tears-moderate-severe-dry-eye-lubricating-eye-drops-0-34-fl-oz-prodid-622742,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-464046,,"Blink Tears Lubricating Eye Drops Mild/Moderate Dry Eye, 1 FL OZ",Blink,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,1 FL OZ,5.23,in_stock,19,18,Eye Drops,3,3,3,"Aisle 18, Eye Drops section, rack 3, shelf 3, position 3",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/blink-tears-lubricating-eye-drops-for-mild-moderate-dry-eye-prodid-464046,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-658068,,"Blink Tears Lubricating Eye Drops, 0.5 OZ",Blink,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,0.5 OZ,6.60,in_stock,26,18,Eye Drops,4,4,4,"Aisle 18, Eye Drops section, rack 4, shelf 4, position 4",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/blink-tears-lubricating-eye-drops-0-5-oz-prodid-658068,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-721457,,"Blink Tears Triple Care Preservative-Free Eye Drops, 0.33 OZ",Blink,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,0.33 OZ,7.97,low_stock,2,18,Eye Drops,5,1,5,"Aisle 18, Eye Drops section, rack 5, shelf 1, position 5",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/blink-tears-triple-care-preservative-free-eye-drops-0-33-oz-prodid-721457,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-523032,,"Blink Triple Care Moderate to Severe Lubricating Eye Drops, .34 OZ",Blink,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,0.34 OZ,9.34,in_stock,9,18,Eye Drops,1,2,6,"Aisle 18, Eye Drops section, rack 1, shelf 2, position 6",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/blink-triple-care-moderate-to-severe-lubricating-eye-drops-34-oz-prodid-523032,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-260605,,SYSTANE COMPLETE Lubricant Eye Drops 10ml,Systane,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,10mL,10.71,in_stock,16,18,Eye Drops,2,3,7,"Aisle 18, Eye Drops section, rack 2, shelf 3, position 7",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/systane-complete-lubricant-eye-drops-10-ml-prodid-260605,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-670501,,"SYSTANE PRO PR Triple Action Dry Eye Relief Eye Drops, Twin Pack, 2 10mL",Systane,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,10mL,12.08,in_stock,23,18,Eye Drops,3,4,8,"Aisle 18, Eye Drops section, rack 3, shelf 4, position 8",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/systane-pro-pr-triple-action-dry-eye-relief-eye-drops-twin-pack-2-10ml-prodid-670501,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-392210,,"Systane Balance Lubricant Eye Drops, 0.33 FL OZ",Systane,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,0.33 FL OZ,13.45,in_stock,30,18,Eye Drops,4,1,1,"Aisle 18, Eye Drops section, rack 4, shelf 1, position 1",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/systane-balance-lubricant-eye-drops-0-33-fl-oz-prodid-392210,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-560781,,"Systane Complete Preservative Free Lubricating Eye Drops Vials, 30 CT",Systane,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,30 CT,14.82,in_stock,6,18,Eye Drops,5,2,2,"Aisle 18, Eye Drops section, rack 5, shelf 2, position 2",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/systane-complete-preservative-free-lubricating-eye-drops-vials-30-ct-prodid-560781,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-391644,,"Systane Hydration Preservative Free Lubricating Eye Drops Vials, 30 CT",Systane,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,30 CT,16.19,in_stock,13,18,Eye Drops,1,3,3,"Aisle 18, Eye Drops section, rack 1, shelf 3, position 3",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/systane-hydration-preservative-free-lubricating-eye-drops-vials-30-ct-prodid-391644,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-3110031,,"Systane Hydration Preservative-Free Daily Eye Relief Eye Drops, 0.34 fl oz",Systane,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,0.34 FL OZ,17.56,in_stock,20,18,Eye Drops,2,4,4,"Aisle 18, Eye Drops section, rack 2, shelf 4, position 4",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/systane-hydration-preservative-free-daily-eye-relief-eye-drops-0-34-fl-oz-prodid-3110031,demo_simulated,2026-09-12T12:00:00-04:00
CVS-DEMO-001,CVS-1060136,,"Systane Lubricant Eye Drops Ultra High Performing Dry Eye Relief, 0.1 OZ",Systane,Health & Medicine,Eye Drops,eye drops|dry eye relief|lubricating drops|artificial tears,0.1 OZ,18.93,in_stock,27,18,Eye Drops,3,1,5,"Aisle 18, Eye Drops section, rack 3, shelf 1, position 5",CVS-665269|CVS-622742,false,true,https://www.cvs.com/shop/systane-ultra-lubricant-eye-drops-prodid-1060136,demo_simulated,2026-09-12T12:00:00-04:00
